iter	Passed	Remaining
649	53318	110739
650	53393	110642
651	53471	110551
652	53543	110448
653	53615	110347
654	53677	110223
655	53744	110110
656	53813	110003
657	53884	109897
658	53951	109785
659	54019	109676
660	54091	109574
661	54166	109478
662	54241	109383
663	54312	109278
664	54381	109171
665	54462	109089
666	54532	108982
667	54605	108883
668	54679	108787
669	54750	108683
670	54823	108585
671	54892	108478
672	54961	108372
673	55031	108267
674	55104	108168
675	55179	108072
676	55251	107972
677	55318	107862
678	55392	107767
679	55466	107669
680	55531	107556
681	55602	107453
682	55665	107336
683	55736	107234
684	55808	107135
685	55876	107027
686	55949	106932
687	56023	106835
688	56092	106730
689	56162	106627
690	56235	106529
691	56308	106432
692	56387	106346
693	56459	106248
694	56527	106141
695	56598	106041
696	56668	105938
697	56741	105840
698	56811	105739
699	56880	105635
700	56948	105529
701	57017	105425
702	57091	105331
703	57162	105230
704	57234	105132
705	57299	105022
706	57375	104931
707	57453	104843
708	57522	104741
709	57596	104647
710	57672	104556
711	57741	104453
712	57810	104351
713	57877	104244
714	57946	104142
715	58021	104049
716	58093	103952
717	58165	103855
718	58238	103759
719	58307	103657
720	58383	103568
721	58457	103473
722	58531	103381
723	58600	103280
724	58671	103181
725	58743	103085
726	58814	102986
727	58883	102883
728	58953	102784
729	59022	102683
730	59092	102582
731	59157	102475
732	59225	102371
733	59298	102278
734	59370	102182
735	59442	102086
736	59530	102017
737	59608	101931
738	59678	101833
739	59752	101740
740	59822	101641
741	59890	101538
742	59958	101436
743	60028	101338
744	60101	101244
745	60170	101145
746	60247	101056
747	60318	100961
748	60390	100865
749	60461	100768
750	60532	100672
751	60603	100575
752	60675	100481
753	60736	100367
754	60807	100272
755	60878	100176
756	60950	100081
757	61020	99982
758	61091	99887
759	61161	99789
760	61229	99688
761	61298	99589
762	61376	99505
763	61450	99413
764	61520	99316
765	61589	99219
766	61659	99121
767	61739	99039
768	61806	98937
769	61879	98845
770	61949	98750
771	62014	98645
772	62084	98547
773	62153	98449
774	62226	98357
775	62295	98260
776	62370	98171
777	62440	98074
778	62512	97981
779	62587	97892
780	62655	97794
781	62723	97694
782	62800	97610
783	62871	97515
784	62941	97419
785	63010	97321
786	63080	97226
787	63150	97130
788	63220	97033
789	63291	96939
790	63369	96856
791	63435	96755
792	63503	96657
793	63573	96561
794	63641	96463
795	63711	96368
796	63782	96273
797	63856	96184
798	63924	96086
799	63994	95991
800	64061	95891
801	64130	95796
802	64200	95700
803	64270	95605
804	64341	95513
805	64413	95421
806	64487	95332
807	64557	95238
808	64627	95143
809	64696	95048
810	64766	94953
811	64837	94860
812	64910	94770
813	64981	94678
814	65052	94585
815	65122	94491
816	65188	94391
817	65261	94301
818	65337	94216
819	65407	94122
820	65477	94028
821	65545	93933
822	65612	93833
823	65680	93737
824	65755	93652
825	65822	93554
826	65883	93448
827	65955	93357
828	66027	93266
829	66098	93174
830	66165	93078
831	66232	92979
832	66304	92890
833	66377	92801
834	66449	92710
835	66512	92608
836	66582	92515
837	66653	92424
838	66724	92332
839	66803	92252
840	66872	92157
841	66941	92065
842	67009	91968
843	67075	91870
844	67145	91778
845	67213	91683
846	67287	91596
847	67359	91507
848	67421	91404
849	67495	91317
850	67564	91224
851	67631	91127
852	67702	91037
853	67773	90946
854	67842	90853
855	67912	90761
856	67984	90672
857	68059	90586
858	68131	90498
859	68205	90411
860	68273	90318
861	68345	90228
862	68412	90133
863	68484	90044
864	68550	89947
865	68612	89846
866	68682	89754
